t,Tmax_polymer,Tmax_steel
0.000,230.000000,50.000000
0.010,229.999999,52.933107
0.020,229.999991,54.022506
0.030,229.999958,54.974869
0.040,229.999857,55.607787
0.050,229.999620,56.134626
0.060,229.999145,56.538007
0.070,229.998301,56.872627
0.080,229.996922,57.143103
0.090,229.994813,57.369064
0.100,229.991752,57.556585
0.110,229.987493,57.714647
0.120,229.981771,57.847879
0.130,229.974302,57.961150
0.140,229.964790,58.057672
0.150,229.952931,58.140387
0.160,229.938414,58.211486
0.170,229.920926,58.272868
0.180,229.900155,58.326034
0.190,229.875793,58.372259
0.200,229.847535,58.412584
0.210,229.815088,58.447890
0.220,229.778167,58.478906
0.230,229.736498,58.506250
0.240,229.689820,58.530441
0.250,229.637888,58.551918
0.260,229.580469,58.571052
0.270,229.517349,58.588162
0.280,229.448327,58.603515
0.290,229.373219,58.617342
0.300,229.291860,58.629839
0.310,229.204098,58.641175
0.320,229.109800,58.651494
0.330,229.008848,58.660921
0.340,228.901142,58.669563
0.350,228.786593,58.677513
0.360,228.665133,58.684849
0.370,228.536704,58.691642
0.380,228.401265,58.697952
0.390,228.258786,58.703830
0.400,228.109253,58.709322
0.410,227.952660,58.714467
0.420,227.789017,58.719301
0.430,227.618343,58.723852
0.440,227.440668,58.728148
0.450,227.256029,58.732211
0.460,227.064477,58.736062
0.470,226.866067,58.739719
0.480,226.660864,58.743197
0.490,226.448941,58.746510
0.500,226.230376,58.749671
0.510,226.005254,58.752690
0.520,225.773664,58.755578
0.530,225.535704,58.758341
0.540,225.291472,58.760989
0.550,225.041073,58.763527
0.560,224.784616,58.765962
0.570,224.522210,58.768299
0.580,224.253970,58.770543
0.590,223.980013,58.772698
0.600,223.700457,58.774767
0.610,223.415423,58.776755
0.620,223.125031,58.778665
0.630,222.829406,58.780498
0.640,222.528670,58.782258
0.650,222.222948,58.783947
0.660,221.912365,58.785566
0.670,221.597045,58.787119
0.680,221.277114,58.788605
0.690,220.952695,58.790027
0.700,220.623912,58.791386
0.710,220.290889,58.792683
0.720,219.953748,58.793919
0.730,219.612611,58.795095
0.740,219.267597,58.796212
0.750,218.918828,58.797271
0.760,218.566420,58.798272
0.770,218.210490,58.799217
0.780,217.851153,58.800105
0.790,217.488523,58.800936
0.800,217.122713,58.801713
0.810,216.753832,58.802434
0.820,216.381989,58.803100
0.830,216.007292,58.803711
0.840,215.629844,58.804269
0.850,215.249751,58.804772
0.860,214.867112,58.805221
0.870,214.482029,58.805616
0.880,214.094597,58.805957
0.890,213.704914,58.806245
0.900,213.313073,58.806479
0.910,212.919167,58.806660
0.920,212.523284,58.806786
0.930,212.125514,58.806860
0.940,211.725943,58.806879
0.950,211.324655,58.806846
0.960,210.921732,58.806758
0.970,210.517256,58.806617
0.980,210.111304,58.806421
0.990,209.703955,58.806172
1.000,209.295283,58.805869
1.010,208.885361,58.805511
1.020,208.474261,58.805100
1.030,208.062053,58.804634
1.040,207.648805,58.804113
1.050,207.234583,58.803538
1.060,206.819452,58.802908
1.070,206.403476,58.802223
1.080,205.986714,58.801483
1.090,205.569229,58.800688
1.100,205.151076,58.799837
1.110,204.732315,58.798931
1.120,204.312999,58.797969
1.130,203.893182,58.796952
1.140,203.472917,58.795878
1.150,203.052254,58.794748
1.160,202.631244,58.793562
1.170,202.209934,58.792319
1.180,201.788370,58.791020
1.190,201.366599,58.789664
1.200,200.944665,58.788251
1.210,200.522610,58.786781
1.220,200.100476,58.785254
1.230,199.678305,58.783669
1.240,199.256134,58.782027
1.250,198.834002,58.780327
1.260,198.411947,58.778570
