case,step,step_rel_residual,cumulative_rel_residual
double_explicit,1,2.372271e-15,2.372271e-15
double_explicit,10,9.642497e-15,5.172604e-17
double_explicit,20,1.795246e-15,9.495933e-16
double_explicit,30,7.100776e-15,9.685294e-16
double_explicit,40,1.523342e-14,1.131059e-15
double_explicit,50,9.164656e-15,1.138974e-15
double_explicit,60,1.833353e-15,1.236671e-15
double_explicit,70,8.925379e-15,1.442312e-15
double_explicit,80,1.890985e-14,1.768640e-15
double_explicit,90,5.263268e-14,1.901159e-15
double_explicit,100,2.695077e-14,1.857994e-15
double_explicit,110,3.462044e-14,2.018976e-15
double_explicit,120,1.534741e-14,2.019310e-15
double_explicit,130,1.567207e-14,2.132285e-15
double_explicit,140,3.289292e-14,2.259465e-15
double_explicit,150,4.456241e-15,2.442050e-15
double_explicit,160,4.370553e-15,2.475923e-15
double_explicit,170,1.458251e-14,2.415526e-15
double_explicit,180,6.804768e-14,2.614537e-15
double_explicit,190,7.203220e-14,2.670704e-15
double_explicit,200,5.054406e-14,2.555257e-15
double_explicit,210,8.883286e-15,2.721826e-15
double_explicit,220,4.337034e-15,2.740926e-15
double_explicit,230,2.310893e-14,2.797243e-15
double_explicit,240,3.792774e-14,2.771278e-15
double_explicit,250,2.087791e-14,2.841259e-15
double_explicit,260,2.599859e-14,2.924235e-15
double_explicit,270,2.521999e-14,2.888575e-15
double_explicit,280,6.716721e-15,2.933436e-15
double_explicit,290,3.547243e-14,3.009377e-15
double_explicit,300,4.535304e-15,2.974850e-15
double_explicit,310,5.830146e-14,3.074236e-15
double_explicit,320,5.539477e-14,3.124629e-15
double_explicit,330,2.157809e-15,3.132192e-15
double_explicit,340,2.612987e-14,3.133234e-15
double_explicit,350,2.813778e-14,3.205500e-15
double_explicit,360,1.503758e-14,3.245505e-15
double_explicit,370,2.154387e-15,3.262103e-15
double_explicit,380,7.671597e-14,3.362621e-15
double_explicit,390,7.565556e-14,3.354663e-15
double_explicit,400,5.864868e-14,3.465941e-15
double_crank_nicolson,1,6.933434e-12,6.933434e-12
double_crank_nicolson,10,6.402894e-12,5.908311e-12
double_crank_nicolson,20,4.875486e-13,4.907327e-12
double_crank_nicolson,30,1.144053e-11,5.682518e-12
double_crank_nicolson,40,1.268396e-11,6.568162e-12
double_crank_nicolson,50,1.185677e-11,7.161812e-12
double_crank_nicolson,60,1.046195e-11,7.495772e-12
double_crank_nicolson,70,9.102957e-12,7.654130e-12
double_crank_nicolson,80,7.984646e-12,7.705385e-12
double_crank_nicolson,90,6.949156e-12,7.691028e-12
double_crank_nicolson,100,6.080074e-12,7.633352e-12
double_crank_nicolson,110,5.068995e-12,7.542420e-12
double_crank_nicolson,120,1.876805e-11,7.668650e-12
double_crank_nicolson,130,1.023669e-11,7.898181e-12
double_crank_nicolson,140,2.074817e-12,7.825042e-12
double_crank_nicolson,150,5.291631e-12,7.523514e-12
double_crank_nicolson,160,1.166276e-11,7.059910e-12
double_crank_nicolson,170,1.695864e-11,6.489645e-12
double_crank_nicolson,180,2.133736e-11,5.855271e-12
double_crank_nicolson,190,2.487078e-11,5.188333e-12
double_crank_nicolson,200,2.780160e-11,4.509737e-12
double_crank_nicolson,210,3.014308e-11,3.833937e-12
double_crank_nicolson,220,3.210663e-11,3.169892e-12
double_crank_nicolson,230,3.389516e-11,2.523141e-12
double_crank_nicolson,240,3.540631e-11,1.897262e-12
double_crank_nicolson,250,3.674504e-11,1.293701e-12
double_crank_nicolson,260,3.787806e-11,7.133893e-13
double_crank_nicolson,270,3.900481e-11,1.561328e-13
double_crank_nicolson,280,4.002182e-11,3.782789e-13
double_crank_nicolson,290,4.090691e-11,8.905682e-13
double_crank_nicolson,300,4.170343e-11,1.381377e-12
double_crank_nicolson,310,4.258973e-11,1.851767e-12
double_crank_nicolson,320,4.326328e-11,2.302450e-12
double_crank_nicolson,330,4.402892e-11,2.734503e-12
double_crank_nicolson,340,4.470117e-11,3.148697e-12
double_crank_nicolson,350,4.540539e-11,3.545869e-12
double_crank_nicolson,360,4.601769e-11,3.926997e-12
double_crank_nicolson,370,4.667669e-11,4.292735e-12
double_crank_nicolson,380,4.726279e-11,4.643831e-12
double_crank_nicolson,390,4.782833e-11,4.981049e-12
double_crank_nicolson,400,4.832436e-11,5.304977e-12
float_explicit,1,2.463817e-07,2.463818e-07
float_explicit,10,5.793778e-06,6.997724e-07
float_explicit,20,6.821797e-08,4.854789e-07
float_explicit,30,3.496215e-06,8.582623e-07
float_explicit,40,3.350812e-06,9.590360e-07
float_explicit,50,2.697899e-06,9.983912e-07
float_explicit,60,1.726099e-06,1.034032e-06
float_explicit,70,1.468350e-05,1.196062e-06
float_explicit,80,2.054258e-05,1.200830e-06
float_explicit,90,2.850167e-06,1.205302e-06
float_explicit,100,8.254115e-06,1.154863e-06
float_explicit,110,6.133911e-07,1.207374e-06
float_explicit,120,9.413939e-06,1.218909e-06
float_explicit,130,9.137758e-06,1.283883e-06
float_explicit,140,1.511282e-05,1.325725e-06
float_explicit,150,4.448910e-06,1.283703e-06
float_explicit,160,4.047487e-06,1.302814e-06
float_explicit,170,1.923938e-05,1.356780e-06
float_explicit,180,1.037812e-05,1.320175e-06
float_explicit,190,4.867258e-06,1.339095e-06
float_explicit,200,1.911250e-05,1.401305e-06
float_explicit,210,1.133448e-06,1.367545e-06
float_explicit,220,1.586560e-05,1.402987e-06
float_explicit,230,1.319234e-05,1.420665e-06
float_explicit,240,2.256723e-05,1.432046e-06
float_explicit,250,1.083517e-05,1.437215e-06
float_explicit,260,2.815891e-05,1.468843e-06
float_explicit,270,1.350972e-05,1.479561e-06
float_explicit,280,2.574881e-05,1.494077e-06
float_explicit,290,2.921153e-05,1.526923e-06
float_explicit,300,3.596097e-07,1.518103e-06
float_explicit,310,3.682026e-05,1.535008e-06
float_explicit,320,6.225273e-06,1.576649e-06
float_explicit,330,8.573330e-06,1.594795e-06
float_explicit,340,3.357264e-05,1.636509e-06
float_explicit,350,1.154301e-05,1.663328e-06
float_explicit,360,2.329990e-05,1.671258e-06
float_explicit,370,3.324470e-05,1.716850e-06
float_explicit,380,3.516929e-05,1.725675e-06
float_explicit,390,5.825925e-06,1.754720e-06
float_explicit,400,2.410942e-06,1.791269e-06
