case,t,Tmax
plate,0.000,230.000000
plate,0.010,230.000000
plate,0.020,230.000000
plate,0.030,230.000000
plate,0.040,230.000000
plate,0.050,229.999998
plate,0.060,229.999993
plate,0.070,229.999979
plate,0.080,229.999944
plate,0.090,229.999869
plate,0.100,229.999717
plate,0.110,229.999437
plate,0.120,229.998951
plate,0.130,229.998156
plate,0.140,229.996916
plate,0.150,229.995061
plate,0.160,229.992386
plate,0.170,229.988649
plate,0.180,229.983578
plate,0.190,229.976864
plate,0.200,229.968174
plate,0.210,229.957147
plate,0.220,229.943407
plate,0.230,229.926559
plate,0.240,229.906201
plate,0.250,229.881928
plate,0.260,229.853333
plate,0.270,229.820016
plate,0.280,229.781586
plate,0.290,229.737666
plate,0.300,229.687893
plate,0.310,229.631926
plate,0.320,229.569445
plate,0.330,229.500150
plate,0.340,229.423770
plate,0.350,229.340056
plate,0.360,229.248785
plate,0.370,229.149762
plate,0.380,229.042817
plate,0.390,228.927803
plate,0.400,228.804602
plate,0.410,228.673118
plate,0.420,228.533276
plate,0.430,228.385028
plate,0.440,228.228343
plate,0.450,228.063212
plate,0.460,227.889644
plate,0.470,227.707664
plate,0.480,227.517317
plate,0.490,227.318659
plate,0.500,227.111763
plate,0.510,226.896711
plate,0.520,226.673601
plate,0.530,226.442537
plate,0.540,226.203635
plate,0.550,225.957020
plate,0.560,225.702822
plate,0.570,225.441179
plate,0.580,225.172234
plate,0.590,224.896136
plate,0.600,224.613036
plate,0.610,224.323092
plate,0.620,224.026462
plate,0.630,223.723307
plate,0.640,223.413789
plate,0.650,223.098073
plate,0.660,222.776324
plate,0.670,222.448706
plate,0.680,222.115384
plate,0.690,221.776522
plate,0.700,221.432286
plate,0.710,221.082837
plate,0.720,220.728337
plate,0.730,220.368946
plate,0.740,220.004823
plate,0.750,219.636124
plate,0.760,219.263003
plate,0.770,218.885613
plate,0.780,218.504103
plate,0.790,218.118621
plate,0.800,217.729312
plate,0.810,217.336319
plate,0.820,216.939781
plate,0.830,216.539836
plate,0.840,216.136617
plate,0.850,215.730256
plate,0.860,215.320882
plate,0.870,214.908622
plate,0.880,214.493597
plate,0.890,214.075929
plate,0.900,213.655735
plate,0.910,213.233131
plate,0.920,212.808227
plate,0.930,212.381133
plate,0.940,211.951956
plate,0.950,211.520800
plate,0.960,211.087766
plate,0.970,210.652952
plate,0.980,210.216455
plate,0.990,209.778368
plate,1.000,209.338781
plate,1.010,208.897785
plate,1.020,208.455463
plate,1.030,208.011901
plate,1.040,207.567179
plate,1.050,207.121377
plate,1.060,206.674572
plate,1.070,206.226837
plate,1.080,205.778247
plate,1.090,205.328870
plate,1.100,204.878776
plate,1.110,204.428031
plate,1.120,203.976699
plate,1.130,203.524843
plate,1.140,203.072523
plate,1.150,202.619799
plate,1.160,202.166727
plate,1.170,201.713362
plate,1.180,201.259758
plate,1.190,200.805968
plate,1.200,200.352041
plate,1.210,199.898026
plate,1.220,199.443971
plate,1.230,198.989922
plate,1.240,198.535922
plate,1.250,198.082015
plate,1.260,197.628242
plate,1.270,197.174644
plate,1.280,196.721259
plate,1.290,196.268125
plate,1.300,195.815279
plate,1.310,195.362756
plate,1.320,194.910590
plate,1.330,194.458814
plate,1.340,194.007460
plate,1.350,193.556559
plate,1.360,193.106140
plate,1.370,192.656233
plate,1.380,192.206865
plate,1.390,191.758064
plate,1.400,191.309854
plate,1.410,190.862262
plate,1.420,190.415310
plate,1.430,189.969024
plate,1.440,189.523425
plate,1.450,189.078535
plate,1.460,188.634374
plate,1.470,188.190964
plate,1.480,187.748323
plate,1.490,187.306471
plate,1.500,186.865426
plate,1.510,186.425204
plate,1.520,185.985823
plate,1.530,185.547298
plate,1.540,185.109646
plate,1.550,184.672882
plate,1.560,184.237018
plate,1.570,183.802071
plate,1.580,183.368052
plate,1.590,182.934975
plate,1.600,182.502851
plate,1.610,182.071693
plate,1.620,181.641512
plate,1.630,181.212318
plate,1.640,180.784122
plate,1.650,180.356934
plate,1.660,179.930764
plate,1.670,179.505619
plate,1.680,179.081510
plate,1.690,178.658444
plate,1.700,178.236430
plate,1.710,177.815475
plate,1.720,177.395585
plate,1.730,176.976769
plate,1.740,176.559032
plate,1.750,176.142381
plate,1.760,175.726821
plate,1.770,175.312359
plate,1.780,174.898999
plate,1.790,174.486747
plate,1.800,174.075607
plate,1.810,173.665584
plate,1.820,173.256682
plate,1.830,172.848905
plate,1.840,172.442257
plate,1.850,172.036741
plate,1.860,171.632360
plate,1.870,171.229119
plate,1.880,170.827018
plate,1.890,170.426062
plate,1.900,170.026252
plate,1.910,169.627591
plate,1.920,169.230081
plate,1.930,168.833724
plate,1.940,168.438521
plate,1.950,168.044474
plate,1.960,167.651584
plate,1.970,167.259852
plate,1.980,166.869281
plate,1.990,166.479869
plate,2.000,166.091619
plate,2.010,165.704530
plate,2.020,165.318604
plate,2.030,164.933841
plate,2.040,164.550240
plate,2.050,164.167802
plate,2.060,163.786527
plate,2.070,163.406415
plate,2.080,163.027465
plate,2.090,162.649678
plate,2.100,162.273052
plate,2.110,161.897588
plate,2.120,161.523283
plate,2.130,161.150139
plate,2.140,160.778153
plate,2.150,160.407326
plate,2.160,160.037655
plate,2.170,159.669140
plate,2.180,159.301780
plate,2.190,158.935573
plate,2.200,158.570519
plate,2.210,158.206615
plate,2.220,157.843860
plate,2.230,157.482253
plate,2.240,157.121792
plate,2.250,156.762475
plate,2.260,156.404301
plate,2.270,156.047268
plate,2.280,155.691374
plate,2.290,155.336617
plate,2.300,154.982996
plate,2.310,154.630508
plate,2.320,154.279151
plate,2.330,153.928923
plate,2.340,153.579822
plate,2.350,153.231847
plate,2.360,152.884993
plate,2.370,152.539261
plate,2.380,152.194646
plate,2.390,151.851147
plate,2.400,151.508762
plate,2.410,151.167488
plate,2.420,150.827322
plate,2.430,150.488263
plate,2.440,150.150307
plate,2.450,149.813452
plate,2.460,149.477697
plate,2.470,149.143037
plate,2.480,148.809470
plate,2.490,148.476995
plate,2.500,148.145608
plate,2.510,147.815306
plate,2.520,147.486088
plate,2.530,147.157949
plate,2.540,146.830888
plate,2.550,146.504902
plate,2.560,146.179988
plate,2.570,145.856142
plate,2.580,145.533364
plate,2.590,145.211649
plate,2.600,144.890995
plate,2.610,144.571398
plate,2.620,144.252857
plate,2.630,143.935369
plate,2.640,143.618929
plate,2.650,143.303536
plate,2.660,142.989187
plate,2.670,142.675879
plate,2.680,142.363608
plate,2.690,142.052373
plate,2.700,141.742169
plate,2.710,141.432995
plate,2.720,141.124846
plate,2.730,140.817721
plate,2.740,140.511616
plate,2.750,140.206529
plate,2.760,139.902456
plate,2.770,139.599394
plate,2.780,139.297341
plate,2.790,138.996293
plate,2.800,138.696248
plate,2.810,138.397202
plate,2.820,138.099153
plate,2.830,137.802097
plate,2.840,137.506032
plate,2.850,137.210955
plate,2.860,136.916862
plate,2.870,136.623751
plate,2.880,136.331619
plate,2.890,136.040462
plate,2.900,135.750279
plate,2.910,135.461064
plate,2.920,135.172817
plate,2.930,134.885534
plate,2.940,134.599211
plate,2.950,134.313846
plate,2.960,134.029436
plate,2.970,133.745978
plate,2.980,133.463469
plate,2.990,133.181906
plate,3.000,132.901286
plate,3.010,132.621607
plate,3.020,132.342864
plate,3.030,132.065055
plate,3.040,131.788178
plate,3.050,131.512229
plate,3.060,131.237205
plate,3.070,130.963104
plate,3.080,130.689922
plate,3.090,130.417656
plate,3.100,130.146305
plate,3.110,129.875864
plate,3.120,129.606331
plate,3.130,129.337702
