t,x_mm,T_solver,T_series
0.1000,0.00500,54.334354,54.331790
0.1000,0.01500,62.987273,62.979622
0.1000,0.02500,71.592995,71.580379
0.1000,0.03500,80.120626,80.103248
0.1000,0.04500,88.540121,88.518256
0.1000,0.05500,96.822599,96.796591
0.1000,0.06500,104.940639,104.910891
0.1000,0.07500,112.868551,112.835517
0.1000,0.08500,120.582617,120.546791
0.1000,0.09500,128.061298,128.023201
0.1000,0.10500,135.285398,135.245571
0.1000,0.11500,142.238202,142.197192
0.1000,0.12500,148.905560,148.863909
0.1000,0.13500,155.275940,155.234176
0.1000,0.14500,161.340439,161.299065
0.1000,0.15500,167.092758,167.052242
0.1000,0.16500,172.529133,172.489905
0.1000,0.17500,177.648249,177.610689
0.1000,0.18500,182.451105,182.415544
0.1000,0.19500,186.940872,186.907585
0.1000,0.20500,191.122717,191.091925
0.1000,0.21500,195.003617,194.975482
0.1000,0.22500,198.592156,198.566785
0.1000,0.23500,201.898317,201.875765
0.1000,0.24500,204.933270,204.913542
0.1000,0.25500,207.709159,207.692214
0.1000,0.26500,210.238893,210.224649
0.1000,0.27500,212.535943,212.524284
0.1000,0.28500,214.614156,214.604934
0.1000,0.29500,216.487569,216.480616
0.1000,0.30500,218.170251,218.165379
0.1000,0.31500,219.676150,219.673159
0.1000,0.32500,221.018965,221.017647
0.1000,0.33500,222.212026,222.212173
0.1000,0.34500,223.268203,223.269608
0.1000,0.35500,224.199824,224.202285
0.1000,0.36500,225.018610,225.021936
0.1000,0.37500,225.735630,225.739641
0.1000,0.38500,226.361267,226.365798
0.1000,0.39500,226.905200,226.910099
0.1000,0.40500,227.376395,227.381527
0.1000,0.41500,227.783108,227.788355
0.1000,0.42500,228.132901,228.138160
0.1000,0.43500,228.432656,228.437843
0.1000,0.44500,228.688609,228.693652
0.1000,0.45500,228.906375,228.911218
0.1000,0.46500,229.090985,229.095585
0.1000,0.47500,229.246928,229.251253
0.1000,0.48500,229.378181,229.382211
0.1000,0.49500,229.488258,229.491981
0.1000,0.50500,229.580246,229.583657
0.1000,0.51500,229.656841,229.659944
0.1000,0.52500,229.720392,229.723194
0.1000,0.53500,229.772932,229.775444
0.1000,0.54500,229.816213,229.818452
0.1000,0.55500,229.851740,229.853723
0.1000,0.56500,229.880798,229.882543
0.1000,0.57500,229.904481,229.906008
0.1000,0.58500,229.923714,229.925043
0.1000,0.59500,229.939278,229.940427
0.1000,0.60500,229.951829,229.952817
0.1000,0.61500,229.961912,229.962759
0.1000,0.62500,229.969986,229.970707
0.1000,0.63500,229.976428,229.977038
0.1000,0.64500,229.981548,229.982063
0.1000,0.65500,229.985605,229.986037
0.1000,0.66500,229.988808,229.989168
0.1000,0.67500,229.991327,229.991626
0.1000,0.68500,229.993301,229.993548
0.1000,0.69500,229.994844,229.995047
0.1000,0.70500,229.996044,229.996211
0.1000,0.71500,229.996975,229.997111
0.1000,0.72500,229.997695,229.997805
0.1000,0.73500,229.998249,229.998338
0.1000,0.74500,229.998675,229.998746
0.1000,0.75500,229.999000,229.999057
0.1000,0.76500,229.999248,229.999294
0.1000,0.77500,229.999436,229.999473
0.1000,0.78500,229.999579,229.999608
0.1000,0.79500,229.999687,229.999709
0.1000,0.80500,229.999767,229.999785
0.1000,0.81500,229.999828,229.999842
0.1000,0.82500,229.999873,229.999884
0.1000,0.83500,229.999907,229.999915
0.1000,0.84500,229.999932,229.999938
0.1000,0.85500,229.999950,229.999955
0.1000,0.86500,229.999964,229.999968
0.1000,0.87500,229.999974,229.999977
0.1000,0.88500,229.999981,229.999983
0.1000,0.89500,229.999986,229.999988
0.1000,0.90500,229.999990,229.999991
0.1000,0.91500,229.999993,229.999994
0.1000,0.92500,229.999995,229.999996
0.1000,0.93500,229.999996,229.999997
0.1000,0.94500,229.999997,229.999998
0.1000,0.95500,229.999998,229.999998
0.1000,0.96500,229.999999,229.999999
0.1000,0.97500,229.999999,229.999999
0.1000,0.98500,229.999999,229.999999
0.1000,0.99500,229.999999,229.999999
0.1000,1.00500,229.999999,229.999999
0.1000,1.01500,229.999999,229.999999
0.1000,1.02500,229.999999,229.999999
0.1000,1.03500,229.999999,229.999999
0.1000,1.04500,229.999998,229.999998
0.1000,1.05500,229.999997,229.999998
0.1000,1.06500,229.999996,229.999997
0.1000,1.07500,229.999995,229.999996
0.1000,1.08500,229.999993,229.999994
0.1000,1.09500,229.999990,229.999991
0.1000,1.10500,229.999986,229.999988
0.1000,1.11500,229.999981,229.999983
0.1000,1.12500,229.999974,229.999977
0.1000,1.13500,229.999964,229.999968
0.1000,1.14500,229.999950,229.999955
0.1000,1.15500,229.999932,229.999938
0.1000,1.16500,229.999907,229.999915
0.1000,1.17500,229.999873,229.999884
0.1000,1.18500,229.999828,229.999842
0.1000,1.19500,229.999767,229.999785
0.1000,1.20500,229.999687,229.999709
0.1000,1.21500,229.999579,229.999608
0.1000,1.22500,229.999436,229.999473
0.1000,1.23500,229.999248,229.999294
0.1000,1.24500,229.999000,229.999057
0.1000,1.25500,229.998675,229.998746
0.1000,1.26500,229.998249,229.998338
0.1000,1.27500,229.997695,229.997805
0.1000,1.28500,229.996975,229.997111
0.1000,1.29500,229.996044,229.996211
0.1000,1.30500,229.994844,229.995047
0.1000,1.31500,229.993301,229.993548
0.1000,1.32500,229.991327,229.991626
0.1000,1.33500,229.988808,229.989168
0.1000,1.34500,229.985605,229.986037
0.1000,1.35500,229.981548,229.982063
0.1000,1.36500,229.976428,229.977038
0.1000,1.37500,229.969986,229.970707
0.1000,1.38500,229.961912,229.962759
0.1000,1.39500,229.951829,229.952817
0.1000,1.40500,229.939278,229.940427
0.1000,1.41500,229.923714,229.925043
0.1000,1.42500,229.904481,229.906008
0.1000,1.43500,229.880798,229.882543
0.1000,1.44500,229.851740,229.853723
0.1000,1.45500,229.816213,229.818452
0.1000,1.46500,229.772932,229.775444
0.1000,1.47500,229.720392,229.723194
0.1000,1.48500,229.656841,229.659944
0.1000,1.49500,229.580246,229.583657
0.1000,1.50500,229.488258,229.491981
0.1000,1.51500,229.378181,229.382211
0.1000,1.52500,229.246928,229.251253
0.1000,1.53500,229.090985,229.095585
0.1000,1.54500,228.906375,228.911218
0.1000,1.55500,228.688609,228.693652
0.1000,1.56500,228.432656,228.437843
0.1000,1.57500,228.132901,228.138160
0.1000,1.58500,227.783108,227.788355
0.1000,1.59500,227.376395,227.381527
0.1000,1.60500,226.905200,226.910099
0.1000,1.61500,226.361267,226.365798
0.1000,1.62500,225.735630,225.739641
0.1000,1.63500,225.018610,225.021936
0.1000,1.64500,224.199824,224.202285
0.1000,1.65500,223.268203,223.269608
0.1000,1.66500,222.212026,222.212173
0.1000,1.67500,221.018965,221.017647
0.1000,1.68500,219.676150,219.673159
0.1000,1.69500,218.170251,218.165379
0.1000,1.70500,216.487569,216.480616
0.1000,1.71500,214.614156,214.604934
0.1000,1.72500,212.535943,212.524284
0.1000,1.73500,210.238893,210.224649
0.1000,1.74500,207.709159,207.692214
0.1000,1.75500,204.933270,204.913542
0.1000,1.76500,201.898317,201.875765
0.1000,1.77500,198.592156,198.566785
0.1000,1.78500,195.003617,194.975482
0.1000,1.79500,191.122717,191.091925
0.1000,1.80500,186.940872,186.907585
0.1000,1.81500,182.451105,182.415544
0.1000,1.82500,177.648249,177.610689
0.1000,1.83500,172.529133,172.489905
0.1000,1.84500,167.092758,167.052242
0.1000,1.85500,161.340439,161.299065
0.1000,1.86500,155.275940,155.234176
0.1000,1.87500,148.905560,148.863909
0.1000,1.88500,142.238202,142.197192
0.1000,1.89500,135.285398,135.245571
0.1000,1.90500,128.061298,128.023201
0.1000,1.91500,120.582617,120.546791
0.1000,1.92500,112.868551,112.835517
0.1000,1.93500,104.940639,104.910891
0.1000,1.94500,96.822599,96.796591
0.1000,1.95500,88.540121,88.518256
0.1000,1.96500,80.120626,80.103248
0.1000,1.97500,71.592995,71.580379
0.1000,1.98500,62.987273,62.979622
0.1000,1.99500,54.334354,54.331790
0.5000,0.00500,51.937703,51.937469
0.5000,0.01500,55.811697,55.810996
0.5000,0.02500,59.681461,59.680295
0.5000,0.03500,63.544186,63.542559
0.5000,0.04500,67.397078,67.394995
0.5000,0.05500,71.237363,71.234832
