r,step,norm_ratio
0.49,1,9.9498944718e-01
0.49,50,9.5969711722e-01
0.49,100,9.4249537864e-01
0.49,150,9.2908148893e-01
0.49,200,9.1762077856e-01
0.49,250,9.0740377038e-01
0.49,300,8.9806685837e-01
0.49,350,8.8939417696e-01
0.49,400,8.8124515571e-01
0.49,450,8.7352220202e-01
0.49,500,8.6615428945e-01
0.49,550,8.5908781773e-01
0.49,600,8.5228115644e-01
0.49,650,8.4570120598e-01
0.49,700,8.3932113328e-01
0.49,750,8.3311882674e-01
0.49,800,8.2707580980e-01
0.49,850,8.2117645772e-01
0.49,900,8.1540742051e-01
0.49,950,8.0975718969e-01
0.49,1000,8.0421576761e-01
0.49,1050,7.9877441114e-01
0.49,1100,7.9342543035e-01
0.49,1150,7.8816202816e-01
0.49,1200,7.8297817117e-01
0.49,1250,7.7786848431e-01
0.49,1300,7.7282816398e-01
0.49,1350,7.6785290572e-01
0.49,1400,7.6293884327e-01
0.49,1450,7.5808249693e-01
0.49,1500,7.5328072923e-01
0.49,1550,7.4853070684e-01
0.49,1600,7.4382986731e-01
0.49,1650,7.3917589018e-01
0.49,1700,7.3456667147e-01
0.49,1750,7.3000030131e-01
0.49,1800,7.2547504401e-01
0.49,1850,7.2098932043e-01
0.49,1900,7.1654169223e-01
0.49,1950,7.1213084785e-01
0.49,2000,7.0775558993e-01
0.49,2050,7.0341482404e-01
0.49,2100,6.9910754859e-01
0.49,2150,6.9483284573e-01
0.49,2200,6.9058987322e-01
0.49,2250,6.8637785706e-01
0.49,2300,6.8219608486e-01
0.49,2350,6.7804389995e-01
0.49,2400,6.7392069591e-01
0.49,2450,6.6982591185e-01
0.49,2500,6.6575902794e-01
0.49,2550,6.6171956153e-01
0.49,2600,6.5770706360e-01
0.49,2650,6.5372111553e-01
0.49,2700,6.4976132625e-01
0.49,2750,6.4582732959e-01
0.49,2800,6.4191878196e-01
0.49,2850,6.3803536018e-01
0.49,2900,6.3417675965e-01
0.49,2950,6.3034269251e-01
0.49,3000,6.2653288618e-01
0.51,1,9.9498944718e-01
0.51,50,9.6415172007e-01
0.51,100,1.1177372040e+00
0.51,150,3.9801588085e+00
0.51,200,2.5614316723e+01
0.51,250,1.7204803723e+02
0.51,300,1.1681940735e+03
0.51,350,7.9881237819e+03
0.51,400,5.4905201868e+04
0.51,450,3.7887165600e+05
0.51,500,2.6225244062e+06
0.51,550,1.8198608823e+07
0.51,600,1.2654875734e+08
0.51,650,8.8152407583e+08
0.51,700,6.1497116712e+09
0.51,750,4.2956660707e+10
0.51,800,3.0039280456e+11
0.51,850,2.1026782029e+12
0.51,900,1.4730969577e+13
0.51,950,1.0328179532e+14
0.51,1000,7.2462772633e+14
0.51,1050,5.0871496462e+15
0.51,1100,3.5733544398e+16
0.51,1150,2.5112881400e+17
0.51,1200,1.7656937944e+18
0.51,1250,1.2419794373e+19
0.51,1300,8.7393125520e+19
0.51,1350,6.1516172744e+20
0.51,1400,4.3314893771e+21
0.51,1450,3.0507673816e+22
0.51,1500,2.1492845470e+23
0.51,1550,1.5145436231e+24
0.51,1600,1.0674896018e+25
0.51,1650,7.5254288965e+25
0.51,1700,5.3061198597e+26
0.51,1750,3.7419171139e+27
0.51,1800,2.6392242052e+28
0.51,1850,1.8617341827e+29
0.51,1900,1.3134485677e+30
0.51,1950,9.2673951618e+30
0.51,2000,6.5395387997e+31
0.51,2050,4.6150603659e+32
0.51,2100,3.2572029826e+33
0.51,2150,2.2990377371e+34
0.51,2200,1.6228492270e+35
0.51,2250,1.1456138858e+36
0.51,2300,8.0876781328e+36
0.51,2350,5.7099543845e+37
0.51,2400,4.0314614172e+38
0.51,2450,2.8465023939e+39
0.51,2500,2.0099165846e+40
0.51,2550,1.4192547718e+41
0.51,2600,1.0022062299e+42
0.51,2650,7.0772889182e+42
0.51,2700,4.9979125147e+43
0.51,2750,3.5295650038e+44
0.51,2800,2.4926628517e+45
0.51,2850,1.7604140302e+46
0.51,2900,1.2432950560e+47
0.51,2950,8.7809388973e+47
0.51,3000,6.2017519406e+48
