scheme,dt,err,order
forward_euler,6.103515625e-05,1.0689046589e-05,0.000000
forward_euler,3.051757812e-05,5.3454359972e-06,0.999754
forward_euler,1.525878906e-05,2.6729461506e-06,0.999877
forward_euler,7.629394531e-06,1.3365301104e-06,0.999938
backward_euler,0.05,1.0923337702e-02,0.000000
backward_euler,0.025,4.9564968046e-03,1.140021
backward_euler,0.0125,2.3385466494e-03,1.083709
backward_euler,0.00625,1.1326580790e-03,1.045900
crank_nicolson,0.05,7.1025401697e-04,0.000000
crank_nicolson,0.025,1.7945943261e-04,1.984677
crank_nicolson,0.0125,4.4980106513e-05,1.996299
crank_nicolson,0.00625,1.1252180087e-05,1.999083
